1	1952
2	1992
3	1906
4	1975
5	1976
6	1971
7	2107
8	2007
9	1906
10	1991
11	2022
12	1969
13	1992
14	1975
15	1969
16	2022
17	2007
18	1975
19	1976
20	2061
21	1976
22	2038
23	2022
24	2022
25	1991
26	1953
27	1991
28	2029
29	1977
30	1984
31	1984
32	2022
33	2053
34	1976
35	1992
36	1922
37	1891
38	2022
39	1906
40	1991
41	2007
42	2007
43	2092
44	1992
45	1922
46	1907
47	1953
48	2044
49	1953
50	1991
51	1976
52	1984
53	2039
54	1960
55	2022
56	1938
57	2045
58	1937
59	1991
60	1922
61	2037
62	2029
63	2007
64	2023
65	1976
66	2069
67	2022
68	1937
69	2052
70	1969
71	2076
72	2007
73	2060
74	1969
75	1953
76	1906
77	1922
78	1991
79	1954
80	2006
81	1907
82	1991
83	1984
84	1944
85	1921
86	2007
87	2053
88	1907
89	1992
90	2007
91	2038
92	2060
93	2022
94	1974
95	1959
96	1975
97	1922
98	2007
99	2021
100	2069
