1	2038
2	2007
3	2007
4	1837
5	1976
6	1975
7	1921
8	1977
9	2007
10	1953
11	2038
12	1976
13	1969
14	2069
15	1944
16	1984
17	2022
18	2037
19	2106
20	2004
21	1953
22	1906
23	2091
24	2038
25	1969
26	1929
27	2007
28	2044
29	1921
30	2091
31	2005
32	2045
33	2054
34	2007
35	2006
36	2023
37	2038
38	1868
39	1928
40	1859
41	1960
42	2069
43	2038
44	2006
45	2007
46	2007
47	1960
48	2105
49	2038
50	2060
51	1991
52	1975
53	1944
54	1969
55	1869
56	2023
57	2038
58	1944
59	2007
60	2007
61	1975
62	1906
63	1944
64	1991
65	1891
66	1938
67	2023
68	2007
69	2007
70	2006
71	2006
72	1944
73	2044
74	1969
75	2022
76	2038
77	2145
78	1853
79	2022
80	2038
81	1922
82	2038
83	2054
84	2060
85	2007
86	1969
87	1991
88	2069
89	2030
90	1969
91	1868
92	1976
93	2007
94	1938
95	1868
96	2029
97	1975
98	2029
99	2045
100	1969
